Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Nayakudu Vinayakudu,1980,,6.0,6,unknown,telugu
Love You to Death,2012,102 min,5.3,7,"comedy, thriller",hindi
Awara Badal,1964,134 min,5.9,14,"action, adventure, drama",bhojpuri
Gharer Bou,1990,121 min,6.4,0,drama,bengali
Chief Sahib,1996,,5.0,37,"action, comedy, romance",urdu
Revelations,2016,118 min,7.3,135,drama,tamil
Murder,1994,101 min,6.4,0,"crime, drama, mystery",kannada
Ivide Ingane,1984,101 min,6.4,0,"action, drama",malayalam
Porter Ponnusami,1979,,6.4,0,unknown,tamil
Amar Premi Sheni Vijanand,1974,,6.4,0,drama,gujarati
Tum Hi To Ho...,2011,,3.9,10,"drama, mystery, thriller",hindi
Bilhana,1948,,6.4,0,unknown,tamil
Maharathi,2008,114 min,7.1,967,"crime, drama, mystery",hindi
Adyathe Maravi,2019,14 min,6.4,0,"short, thriller",malayalam
Hum Ek Hain,1961,,6.4,0,drama,urdu
Puzha,1980,,6.4,0,unknown,malayalam
Common Opinion,2016,10 min,6.4,0,"documentary, short",urdu
Paandav,1995,132 min,4.1,533,"action, drama",hindi
Khaidi,1987,,6.4,0,unknown,telugu
Savitri,1937,136 min,6.4,0,fantasy,hindi
Raam,2009,149 min,6.6,136,"comedy, drama",kannada
Police Lock Up,1992,,6.4,0,action,hindi
The Dirty Picture,2011,145 min,6.6,8815,"biography, comedy, drama",tamil
Kurbani,1943,,6.6,5,unknown,hindi
Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,,6.4,0,documentary,nepali
Lawaris: Karachi's Unknown Dead,2019,,6.4,0,"documentary, short",urdu
Rakhewal,2019,130 min,6.4,0,drama,gujarati
Kanasu Maratakkide,2021,132 min,6.4,0,drama,kannada
Pati Patni Aur Tawaif,1990,,4.3,40,"drama, family",hindi
Dholo Mara Malak No,1998,,6.4,0,drama,gujarati
Pambaram,1979,,6.4,0,unknown,malayalam
The Last Color,2019,90 min,7.7,740,drama,hindi
Aji Bas Shukriya,1958,,6.2,10,"comedy, drama, musical",hindi
Delhi Durbar,1956,,6.4,0,unknown,hindi
Bhartruhari,1932,,6.4,0,fantasy,hindi
Teer,1954,,6.4,0,drama,hindi
Eppothum Vendran,2014,138 min,6.4,0,drama,tamil
Prem Paigham,1989,,6.4,0,romance,hindi
Smuggler,1996,,4.4,17,"action, crime",hindi
Sheikh Chilli,1958,,6.4,0,comedy,punjabi
Sasi Lalitha,2020,,6.4,0,drama,telugu
Om Shri Satya Sai Baba,2021,,6.4,0,biography,hindi
Khooni Insaan,1988,,4.0,7,thriller,hindi
Ilamai Kaalangal,1983,120 min,5.7,9,unknown,tamil
Lalu Bhulu,1959,,7.0,6,drama,bengali
Rakkhushi,2006,134 min,6.5,10,drama,bengali
Geet Ganga,1982,138 min,6.4,0,drama,hindi
Bachke Rahna,1949,,6.4,0,"action, comedy",hindi
Viswasam Athalle Ellam,2015,159 min,4.9,30,"comedy, drama",malayalam
Stop!,2004,,4.5,31,"comedy, romance",hindi
Post Man,1967,,6.4,0,unknown,malayalam
Sannyasi Deshonayok,2020,,6.4,0,drama,bengali
Local Utpaat,2020,,6.4,0,"action, comedy",assamese
Niraparadhi,1951,182 min,6.4,0,unknown,tamil
Avaghachi Sansar,1960,,6.4,0,comedy,marathi
Vicar Ka Achar Open Your Mind Before Your Mouth,2018,90 min,6.4,0,unknown,hindi
Neerja,2016,122 min,7.7,21192,"biography, drama, thriller",hindi
OK Kanmani,2015,139 min,7.4,5030,romance,tamil
